x0,y0,x1,y1,x2,y2,x3,y3
0,0,10,10,0,-15,-5,5

t,x,y,angle
0.0,0.0,0.0,0.0
0.01,0.294025,0.28957999999999995,45.43638216845244
0.02,0.5761999999999999,0.55864,46.3629258132465
0.03,0.8466749999999998,0.8076599999999998,47.36495586892564
0.04,1.1056,1.03712,48.452555449634154
0.05,1.353125,1.2475,49.63764722140065
0.06,1.5893999999999997,1.4392799999999997,50.93440751889529
0.07,1.8145749999999998,1.6129399999999996,52.35978636455232
0.08,2.0288,1.7689599999999996,53.93416064938534
0.09,2.2322249999999997,1.9078199999999996,55.682152334178696
0.1,2.4250000000000003,2.03,57.63364564982232
0.11,2.607275,2.1359799999999995,59.82503218633377
0.12,2.7791999999999994,2.2262399999999998,62.300690475047645
0.13,2.9409250000000005,2.30126,65.11464710173445
0.14,3.0925999999999996,2.3615199999999996,68.33223120451338
0.15,3.2343749999999996,2.4075,72.03125557797578
0.16,3.366399999999999,2.439679999999999,76.30173103583355
0.17,3.4888250000000003,2.45854,81.24223260317625
0.18,3.6018000000000003,2.4645600000000005,86.9498146440718
0.19,3.7054750000000007,2.4582200000000007,93.49943033671171
0.2,3.8000000000000007,2.4400000000000004,100.9101426013806
0.21,3.885525000000001,2.4103800000000004,109.10258025045361
0.22,3.9621999999999997,2.36984,117.86653396810121
0.23,4.030175,2.31886,126.86922332398741
0.24,4.0896,2.2579199999999995,135.72112759073613
0.25,4.140625,2.1875,144.0736238727654
0.26,4.1834,2.10808,151.6934367279344
0.27,4.218075,2.0201399999999996,158.48053682378819
0.28,4.244800000000001,1.92416,164.44048827414136
0.29,4.263724999999999,1.8206199999999997,169.64183997447458
0.3,4.2749999999999995,1.7099999999999997,174.18019648860675
0.31,4.2787749999999996,1.5927799999999994,178.1554611801104
0.32,4.275199999999999,1.4694399999999996,-178.33975126473553
0.33,4.264424999999999,1.3404599999999993,-175.22459428139743
0.34,4.246599999999999,1.2063199999999994,-172.43067841242834
0.35,4.221875000000001,1.0675000000000008,-169.90104339519982
0.36,4.1904,0.9244800000000002,-167.5885310722055
0.37,4.152325,0.7777400000000002,-165.45409526218285
0.38,4.107800000000001,0.6277600000000007,-163.46527185534558
0.39,4.056975,0.47501999999999983,-161.59487836367117
0.4,4.0,0.3199999999999992,-159.81994297564884
0.41,3.9370250000000007,0.16318000000000088,-158.12083627568268
0.42,3.868200000000001,0.005040000000001543,-156.48057165507907
0.43,3.793675000000001,-0.15393999999999908,-154.884241768011
0.44,3.7136,-0.31328000000000034,-153.31856277742307
0.45,3.6281250000000003,-0.4725000000000005,-151.77150316500646
0.46,3.5374000000000008,-0.6311199999999999,-150.23197855823642
0.47,3.4415750000000007,-0.7886599999999996,-148.68959803978296
0.48,3.3407999999999998,-0.9446400000000008,-147.13445073084907
0.49,3.235225,-1.0985799999999994,-145.55692418004702
0.5,3.125,-1.25,-143.9475483827725
0.51,3.010275,-1.3984200000000004,-142.2968612488427
0.52,2.8912,-1.5433600000000003,-140.59529317026437
0.53,2.767925,-1.6843400000000004,-138.83307015171516
