x0,y0,x1,y1,x2,y2,x3,y3
0,0,10,10,0,-15,-5,5

t,x,y,angle
0.54,2.6405999999999996,-1.8208800000000003,-137.00013688304531
0.55,2.509374999999999,-1.9525000000000001,-135.08610327710494
0.56,2.374399999999999,-2.07872,-133.0802204725565
0.57,2.2358250000000006,-2.19906,-130.97139517902852
0.58,2.0938000000000003,-2.3130400000000004,-128.74825451577306
0.59,1.9484750000000004,-2.42018,-126.39927702093286
0.6,1.800000000000001,-2.5199999999999987,-123.91300890519977
0.61,1.6485250000000007,-2.61202,-121.27838713817395
0.62,1.4942000000000002,-2.695760000000001,-118.48519131082375
0.63,1.3371749999999998,-2.77074,-115.52464249428405
0.64,1.1775999999999995,-2.8364799999999994,-112.3901569896501
0.65,1.0156249999999996,-2.8925,-109.07824319460585
0.66,0.8513999999999997,-2.938320000000001,-105.58949883346935
0.67,0.685074999999999,-2.97346,-101.92962407192326
0.68,0.516799999999999,-2.997440000000001,-98.11031897065007
0.69,0.34672500000000084,-3.0097799999999997,-94.14989343503525
0.7,0.17500000000000093,-3.01,-90.0734026181209
0.71,0.0017750000000007482,-2.99762,-85.91215018123141
0.72,-0.17279999999999984,-2.972160000000001,-81.70248679761441
0.73,-0.34857499999999964,-2.933139999999999,-77.48396292127514
0.74,-0.5253999999999996,-2.8800800000000004,-73.29703995146149
0.75,-0.703125,-2.8125,-69.18067410794107
0.76,-0.8816000000000004,-2.729919999999999,-65.1701206226142
0.77,-1.0606750000000003,-2.631859999999999,-61.29524886801981
0.78,-1.2402,-2.51784,-57.57953450818896
0.79,-1.4200250000000008,-2.3873800000000003,-54.03974885567657
0.8,-1.600000000000001,-2.24,-50.6862443671433
0.81,-1.7799750000000008,-2.075219999999999,-47.52366544743457
0.82,-1.959799999999999,-1.8925600000000005,-44.55189808373813
0.83,-2.1393249999999995,-1.6915400000000007,-41.767095896039294
0.84,-2.318399999999999,-1.4716800000000005,-39.16266395160381
0.85,-2.4968749999999993,-1.2325,-36.730128237555206
0.86,-2.6746,-0.9735200000000006,-34.459857820265796
0.87,-2.851425,-0.6942600000000008,-32.34163458590766
0.88,-3.0271999999999997,-0.3942399999999999,-30.365082393804386
0.89,-3.2017750000000005,-0.07297999999999893,-28.519975804327444
0.9,-3.3750000000000004,0.2700000000000009,-26.79645101988721
0.91,-3.5467250000000003,0.635180000000001,-25.185140684760018
0.92,-3.7168,1.0230400000000013,-23.677251471999693
0.93,-3.8850750000000005,1.4340600000000019,-22.26460007164325
0.94,-4.051399999999999,1.8687199999999975,-20.93961993116005
0.95,-4.215624999999999,2.327499999999998,-19.695348205098124
0.96,-4.377599999999999,2.810879999999998,-18.525399961783148
0.97,-4.537175,3.319339999999999,-17.423934773715867
0.98,-4.6941999999999995,3.8533599999999986,-16.385619333543406
0.99,-4.8485249999999995,4.4134199999999995,-15.405588617740538
1.0,-5.0,5.0,-14.479407292642206
